ACCIPITRIFORMES,AEGOTHELIFORMES,ANSERIFORMES,APODIFORMES,APTERYGIFORMES,BUCEROTIFORMES,CAPRIMULGIFORMES,CARIAMIFORMES,CASUARIIFORMES,CATHARTIFORMES,CHARADRIIFORMES,CICONIIFORMES,COLIIFORMES,COLUMBIFORMES,CORACIIFORMES,CUCULIFORMES,EURYPYGIFORMES,FALCONIFORMES,GALBULIFORMES,GALLIFORMES,GAVIIFORMES,GRUIFORMES,LEPTOSOMIFORMES,MESITORNITHIFORMES,MUSOPHAGIFORMES,NYCTIBIIFORMES,OPISTHOCOMIFORMES,OTIDIFORMES,PASSERIFORMES,PELECANIFORMES,PHAETHONTIFORMES,PHOENICOPTERIFORMES,PICIFORMES,PODARGIFORMES,PODICIPEDIFORMES,PSITTACIFORMES,PROCELLARIIFORMES,PTEROCLIFORMES,RHEIFORMES,SPHENISCIFORMES,STEATORNITHIFORMES,STRIGIFORMES,STRUTHIONIFORMES,SULIFORMES,TINAMIFORMES,TROGONIFORMES,OTHER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spindalidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stenostiridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sturnidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sylviidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teretistridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thamnophilidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thraupidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tichodromidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Timaliidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tityridae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Troglodytidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turdidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tyrannidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Urocynchramidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vangidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Viduidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vireonidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeledoniidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zosteropidae,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,
